"id"	"title"	"description"	"availability"	"availability date"	"expiration date"	"link"	"mobile link"	"image link"	"price"	"sale price"	"sale price effective date"	"identifier exists"	"gtin"	"mpn"	"brand"	"product highlight"	"product detail"	"additional image link"	"condition"	"adult"	"color"	"size"	"size type"	"size system"	"gender"	"material"	"pattern"	"age group"	"multipack"	"is bundle"	"unit pricing measure"	"unit pricing base measure"	"energy efficiency class"	"min energy efficiency class"	"min energy efficiency class"	"item group id"	"sell on google quantity"
"farshi-puri"	"Farshi Puri"	"Crispy homemade Farshi Puri made with traditional Gujarati recipes and fresh ingredients. Perfect for tea-time snacking."	"in_stock"	""	""	"https://www.shilpaskitchen.in/farshi-puri"	""	"https://www.shilpaskitchen.in/images/farsi_puri.png"	"210 INR"	""	""	"no"	""	""	"Shilpa's Kitchen"	"A perfect balance of savory and mildly spiced flavors, featuring the earthy aroma of roasted cumin and the subtle kick of crushed black pepper."	"General:Ingredients:All-Purpose Flour (Maida), Pure Ghee, Black Pepper, Cumin Seeds (Jeera), Salt, Groundnut Oil (Peanut Oil) for frying"	""	"new"	"no"	""	"500gm"	""	""	""	""	""	"adult"	""	"no"	"500gm"	""	""	""	""	""	""
"limbu-gathiya"	"Limbu Gathiya"	"Crunchy gram flour sticks infused with a tangy lemon twist and traditional Gujarati spices. A classic savory treat."	"in_stock"	""	""	"https://www.shilpaskitchen.in/limbu-gathiya"	""	"https://www.shilpaskitchen.in/images/gathiya.png"	"200 INR"	""	""	"no"	""	""	"Shilpa's Kitchen"	"A tantalizing burst of tanginess from fresh lemon juice, balanced perfectly with savory besan and a mild kick of red pepper. Very addictive!"	"General:Ingredients:Gram Flour (Besan), Fresh Lemon Juice, Red Pepper, Salt, Premium Frying Oil"	""	"new"	"no"	""	"500gm"	""	""	""	""	""	"adult"	""	"no"	"500gm"	""	""	""	""	""	""
"butter-chakri"	"Butter Chakri"	"Crispy, buttery, spiral-shaped savory snack made from rice flour. The perfect melt-in-mouth tea-time companion."	"in_stock"	""	""	"https://www.shilpaskitchen.in/butter-chakri"	""	"https://www.shilpaskitchen.in/images/chakri.png"	"230 INR"	""	""	"no"	""	""	"Shilpa's Kitchen"	"Rich, buttery, and mildly spicy with a wonderful nutty flavor from the toasted sesame seeds embedded in the spirals."	"General:Ingredients:Rice Flour, Pure Butter, Sesame Seeds (Til), Red Chili Powder, Salt"	""	"new"	"no"	""	"500gm"	""	""	""	""	""	"adult"	""	"no"	"500gm"	""	""	""	""	""	""
"thepla"	"Methi Thepla"	"Soft, flavorful Gujarati flatbread made with fresh fenugreek leaves, whole wheat, and traditional spices. The ultimate travel food."	"in_stock"	""	""	"https://www.shilpaskitchen.in/thepla"	""	"https://www.shilpaskitchen.in/images/thepla.png"	"190 INR"	""	""	"no"	""	""	"Shilpa's Kitchen"	"Savory and slightly bitter from the fresh methi leaves, perfectly complemented by the heat of green chili paste."	"General:Ingredients:Whole Wheat Flour, Fresh Fenugreek Leaves (Methi), Green Chili Paste, Turmeric, Oil, Salt"	""	"new"	"no"	""	"500gm"	""	""	""	""	""	"adult"	""	"no"	"500gm"	""	""	""	""	""	""
"papad-pauva"	"Papad Pauva"	"A delightful mix of roasted flattened rice (pauva) and crispy papad bits, seasoned with sweet and spicy masala."	"in_stock"	""	""	"https://www.shilpaskitchen.in/papad-pauva"	""	"https://www.shilpaskitchen.in/images/papadi.png"	"200 INR"	""	""	"no"	""	""	"Shilpa's Kitchen"	"A wonderful sweet, spicy, and tangy flavor profile. The roasted peanuts add earthiness, while the curry leaves bring a beautiful aroma."	"General:Ingredients:Flattened Rice (Poha/Pauva), Urad Dal Papad, Peanuts, Roasted Chana (Dalia), Curry Leaves, Green Chilies, Sugar Powder, Spices"	""	"new"	"no"	""	"500gm"	""	""	""	""	""	"adult"	""	"no"	"500gm"	""	""	""	""	""	""
"methi-para"	"Methi Para"	"Savory flaky squares infused with fenugreek leaves, offering a perfect blend of health and traditional taste."	"in_stock"	""	""	"https://www.shilpaskitchen.in/methi-para"	""	"https://www.shilpaskitchen.in/images/methi_para(1).png"	"105 INR"	""	""	"no"	""	""	"Shilpa's Kitchen"	"A robust savory flavor featuring the authentic earthy bitterness of fresh fenugreek leaves."	"General:Ingredients:Whole Wheat Flour, Fresh Fenugreek (Methi) Leaves, Salt, Frying Oil"	""	"new"	"no"	""	"500gm"	""	""	""	""	""	"adult"	""	"no"	"500gm"	""	""	""	""	""	""
"makai-pauva"	"Makai Pauva"	"Flattened rice mixed with crunchy corn flakes, seasoned with signature spices and a hint of lemon juice. Light and highly nutritious."	"in_stock"	""	""	"https://www.shilpaskitchen.in/makai-pauva"	""	"https://www.shilpaskitchen.in/images/makai_pauva.png"	"190 INR"	""	""	"no"	""	""	"Shilpa's Kitchen"	"A delightful khatta-mitha (sweet and sour) explosion with the earthy richness of roasted peanuts and vibrant curry leaves."	"General:Ingredients:Flattened Rice (Poha), Corn Flakes (Makai Chivda), Peanuts, Curry Leaves, Turmeric, Green Chilies, Lemon Juice, Spices"	""	"new"	"no"	""	"500gm"	""	""	""	""	""	"adult"	""	"no"	"500gm"	""	""	""	""	""	""
"khakhra-methi"	"Methi Khakhra"	"Healthy, fenugreek-infused thin flatbread roasted to a perfect crisp. A nutritious and delicious traditional Gujarati staple."	"in_stock"	""	""	"https://www.shilpaskitchen.in/khakhra-methi"	""	"https://www.shilpaskitchen.in/images/khakhra.png"	"90 INR"	""	""	"no"	""	""	"Shilpa's Kitchen"	"Savory with a distinct, pleasant bitterness from the methi leaves, complemented by subtle undertones of turmeric and ajwain."	"General:Ingredients:Whole Wheat Flour, Fresh Fenugreek (Methi) Leaves, Turmeric, Green Chili Paste, Ajwain, Oil, Salt"	""	"new"	"no"	""	"250gm"	""	""	""	""	""	"adult"	""	"no"	"250gm"	""	""	""	""	""	""
"sev"	"Sev"	"Fine vermicelli-like crunchy snack made from gram flour, perfect for garnishing or snacking on its own."	"in_stock"	""	""	"https://www.shilpaskitchen.in/sev"	""	"https://www.shilpaskitchen.in/images/sev.png"	"200 INR"	""	""	"no"	""	""	"Shilpa's Kitchen"	"Mildly savory with the pleasant, earthy taste of roasted besan and a hint of turmeric."	"General:Ingredients:Gram Flour (Besan), Turmeric, Salt, Premium Frying Oil"	""	"new"	"no"	""	"500gm"	""	""	""	""	""	"adult"	""	"no"	"500gm"	""	""	""	""	""	""
"shakkar-para"	"Shakkar Para"	"Sweet flaky pastry squares made with flour, pure ghee, and a delicate sugar coating. The perfect festive sweet snack."	"in_stock"	""	""	"https://www.shilpaskitchen.in/shakkar-para"	""	"https://www.shilpaskitchen.in/images/sakkar_para.png"	"210 INR"	""	""	"no"	""	""	"Shilpa's Kitchen"	"Delightfully sweet with rich, buttery undertones from pure ghee and a delicate aroma of fresh cardamom."	"General:Ingredients:Whole Wheat Flour, Pure Ghee, Sugar, Cardamom Powder, Frying Oil"	""	"new"	"no"	""	"500gm"	""	""	""	""	""	"adult"	""	"no"	"500gm"	""	""	""	""	""	""
